Year;Comp name;Event;Info
2018;Giants Live North American Open;Atlas Stones;5 implements / 135 to 185 kg
2018;Giants Live World Tour Finals;Deadlift;360 kg / 60 second time limit
2018;Giants Live World Tour Finals;Carry & Drag;200 kg duck walk, 350 kg chain drag
2018;Giants Live World Tour Finals;Car Walk;450 kg / 20 meters
2018;Giants Live World Tour Finals;Atlas Stones;100 to 180 kg
2019;Giants Live North American Open;Farmer's Walk;155 kg / For distance, no drops
2019;Giants Live North American Open;Super Yoke;450 kg / 30 meters
2019;Giants Live North American Open;Atlas Stones;135 to 185 kg
2019;Giants Live Wembley;Farmer's Walk;160 kg / 40 meters
2019;Giants Live Wembley;Safe Lift;150 kg / 60 second time limit
2019;Giants Live Wembley;Hercules Hold;200 kg / hand
2019;Giants Live Wembley;Atlas Stones;120 to 200 kg
2019;Giants Live World Tour Finals;Deadlift;350 kg / 60 second time limit
2019;Giants Live World Tour Finals;Dumbbell Press;100 kg / 60 second time limit
2019;Giants Live World Tour Finals;Car Walk;450 kg / 20 meters
2019;Giants Live World Tour Finals;Hercules Hold;200 kg / hand
2019;Giants Live World Tour Finals;Atlas Stones;5 implements / 120 to 200 kg
2021;Arnold UK;Deadlift;360 kg / 60 second time limit / Axle bar
2021;Arnold UK;Frame Carry;400 kg / 18 meters
2021;Arnold UK;Dumbbell Press;100 kg
2021;Arnold UK;Atlas Stones;5 implements / 100 to 180 kg
2021;Giants Live Strongman Classic;Deadlift;350 kg / 60 second time limit / Axle bar
2021;Giants Live Strongman Classic;Frame Carry;400 kg / 20 meters
2021;Giants Live Strongman Classic;Atlas Stones;5 implements / 100 to 180 kg
2021;Giants Live World Open;Viking Press;160 kg
2021;Giants Live World Open;Carry & Drag;160 kg farmer's walk + 200 kg chain drag
2021;Giants Live World Open;Front Hold;30 kg
2021;Giants Live World Open;Atlas Stones;5 implements / 100 to 180 kg
2021;Giants Live World Tour Finals;Nicol Stones;114 + 139 kg
2021;Giants Live World Tour Finals;Log Lift;150 kg / 75 second time limit
2021;Giants Live World Tour Finals;Deadlift;360 kg / 60 second time limit / Axle bar
2021;Giants Live World Tour Finals;Car Walk;450 kg / 20 meters
2021;Giants Live World Tour Finals;Atlas Stones;5 implements / 60 second time limit / 100 to 180 kg
2022;Giants Live Strongman Classic;Dumbbell Medley;5 implements / 75 second time limit / 80 to 120 kg
2022;Giants Live Strongman Classic;Farmer's Walk;150 kg / 60 second time limit / For distance
2022;Giants Live Strongman Classic;Deadlift;360 kg / 60 second time limit / Axle bar
2022;Giants Live Strongman Classic;Atlas Stones;5 implements / 60 second time limit / 120 to 200 kg
2022;Giants Live World Open;Log Lift;150 kg / 75 second time limit
2022;Giants Live World Open;Atlas Stones;5 implements / 60 second time limit / 100 to 180 kg
2022;Giants Live World Tour Finals;Dumbbell Press;100 kg / 60 second time limit
2022;Giants Live World Tour Finals;Nicol Stones;114 + 139 kg
2022;Giants Live World Tour Finals;Deadlift;350 kg / 60 second time limit / Axle bar
2022;Giants Live World Tour Finals;Carry & Drag;40 meters / 60 second time limit / 125 kg anchor carry + 350 kg chain drag
2022;Giants Live World Tour Finals;Power Stairs;60 second time limit / 200-210-225-240-250 kg (3 stairs each)
2021;Rogue Invitational;Max Deadlift;Elephant bar
2021;Rogue Invitational;Cyr Dumbbell Ladder;5 implements / 150 second time limit / 115 to 136 kg
2021;Rogue Invitational;Wheel of Pain;9072 kg / 60 second time limit
2021;Rogue Invitational;Medley;150 second time limit / 454 kg yoke (15 m) + 3x 163 kg log lift
2021;Rogue Invitational;Inver Stones;5 implements / 120 second time limit / 125 to 191 kg
2021;Rogue Invitational;Max Deadlift;Elephant bar
2021;Rogue Invitational;Cyr Dumbbell Ladder;5 implements / 150 second time limit / 115 to 136 kg
2021;Rogue Invitational;Wheel of Pain;9072 kg / 60 second time limit
2021;Rogue Invitational;Medley;150 second time limit / 454 kg yoke (15 m) + 3x 163 kg log lift
2021;Rogue Invitational;Inver Stones;5 implements / 120 second time limit / 125 to 191 kg
2023;Rogue Invitational;Deadlift;408 kg / 60 second time limit
2023;Rogue Invitational;Sled Pull;15 meters
2023;Rogue Invitational;Log Lift;163 kg / 90 second time limit
2023;Rogue Invitational;The Duel;Loading event
2020;Shaw Classic;Super Yoke;500 kg / 18 meters / 60 second time limit
2020;Shaw Classic;Farmer's Walk;27 meters / 60 second time limit / 159 kg farmer's walk, 172 kg farmer's walk, 400 kg frame carry (30 feet each)
2020;Shaw Classic;Dumbbell Press;110 kg / 75 second time limit
2020;Shaw Classic;Atlas Stones;6 implements / 60 second time limit / 132 to 204 kg
2021;Shaw Classic;Super Yoke;507 kg / 24 meters
2021;Shaw Classic;Bag Over Bar;8 implements / 23 to 29 kg
2021;Shaw Classic;Squat Lift;371 kg / Car squat
2021;Shaw Classic;Max Deadlift;Hummer tires
2021;Shaw Classic;Medley;2 sacks + wheelbarrow carry + vertical lift (2.90 m)
2021;Shaw Classic;Dumbbell Press;110 kg / 75 second time limit
2021;Shaw Classic;Atlas Stones;5 implements / 60 second time limit / 159 to 204 kg
2022;Shaw Classic;Bag Over Bar;8 implements / 22 to 29 kg, 4.5 metres
2022;Shaw Classic;Dumbbell Press;110 kg / 75 second time limit
2022;Shaw Classic;Super Yoke;506 kg / 20 meters
2022;Shaw Classic;Max Deadlift;Hummer tires
2022;Shaw Classic;Atlas Stones;5 implements / 159 to 204 kg
2022;Shaw Classic;Log Lift;172, 186 or 200 kg
2022;Shaw Classic;Medley;363 kg frame carry + 318 kg vertical lift
2022;Shaw Classic;Leg Press;907 kg / Vehicle press
2016;Ultimate Strongman World Championships;Super Yoke;450 kg / 20 meters
2016;Ultimate Strongman World Championships;Tire Flip;400 kg / 20 meters
2016;Ultimate Strongman World Championships;Axle Press;4 implements / 147 to 207 kg
2016;Ultimate Strongman World Championships;Atlas Stones;5 implements / 115 to 175 kg
2017;Viking Apocalypse;Super Yoke;400 kg
2017;Viking Apocalypse;Log Lift;150 kg
2017;Viking Apocalypse;Tire Flip;440 kg
2017;Viking Apocalypse;Deadlift;380 kg / Frame deadlift
2017;Viking Apocalypse;Atlas Stones;5 implements / 110 to 205 kg
2018;Summermania;Farmer's Walk;150 kg / 40 meters / No drops
2018;Summermania;Max Deadlift;18-inch deadlift
2018;Summermania;Log Medley;5 implements / 120 to 200 kg
2018;Summermania;Flag Hoist;5 implements / 275 to 375 kg
2018;Summermania;Atlas Stones;5 implements / 115 to 175 kg
1986;WSM Final;Arm Over Arm Pull;7500 kg / 30 meters
1986;WSM Final;McGlashen Stones;5 implements / 70 to 150 kg
1986;WSM Final;Crucifix Hold;12.5 kg / hand
1997;WSM Final;Loading Race;6 implements / 6 kegs, 105 kg each
1997;WSM Final;Max Deadlift;18-inch deadlift
1999;WSM Final;Super Yoke;363 kg / 30 meters
1999;WSM Final;Arm Over Arm Pull;300 kg
1999;WSM Final;Atlas Stones;5 implements / 75 second time limit / 95 to 160 kg
1999;WSM Final;Plane Pull;70000 kg
1999;WSM Final;Viking Press;121 kg / No resting allowed
1999;WSM Final;Medley;90 second time limit / 120 kg farmer's walk (30 m), 2x 300 kg tire flip, 350 kg chain drag (15 m)
2000;WSM Final;Super Yoke;363 kg / 25 meters
2000;WSM Final;Power Stairs;200 kg / 24 stairs
2000;WSM Final;Farmer's Walk;120 kg / 70 meters
2000;WSM Final;Fingal's Fingers;5 implements / 200 to 300 kg
2000;WSM Final;Atlas Stones;5 implements / 95 to 160 kg
2001;WSM Final;Carry & Flip;35 meters / 75 second time limit / 365 kg yoke (15 m) + 390 kg tire (15 m)
2001;WSM Final;Squat Lift;318 kg / 60 second time limit
2001;WSM Final;Farmer's Walk;125 kg / 60 meters
2001;WSM Final;Log Lift;120 kg / 75 second time limit
2001;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final;Flip & Drag;30 meters / 75 second time limit / 400 kg tire flip (15 m), 300 kg chain drag (15 m)
2002;WSM Final;Farmer's Walk;120 kg / 75 meters / 75 second time limit
2002;WSM Final;Squat Lift;318 kg
2002;WSM Final;Truck Pull;30 meters / 75 second time limit
2002;WSM Final;Shield Carry;175 kg
2002;WSM Final;Deadlift;Car deadlift
2002;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final;Carry & Drag;30 meters / 225 kg duck walk (15 m), 285 kg chain drag (15 m)
2003;WSM Final;Overhead Medley;4 implements / 75 second time limit / 135 to 165 kg
2003;WSM Final;Hercules Hold;160 kg
2003;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final;Train Pull;16000 kg / 25 meters / 75 second time limit
2003;WSM Final;Deadlift;75 second time limit / 7 lifts, 295 to 365 kg
2003;WSM Final;Farmer's Walk;120 kg / 75 meters / 75 second time limit
2004;WSM Final;Medley;50 meters / 75 second time limit / 100 kg anchor carry (25 m), 160 kg farmer's walk (25 m)
2004;WSM Final;Fridge Carry;410 kg / 25 meters / 75 second time limit
2004;WSM Final;Deadlift;Car deadlift
2004;WSM Final;Squat Lift;75 second time limit / 7 lifts, 265 to 370 kg
2004;WSM Final;Safe Lift;120 kg / 75 second time limit
2004;WSM Final;Loading Race;35 meters / 75 second time limit
2004;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final;Hercules Hold;160 kg
2005;WSM Final;Fridge Carry;410 kg / 20 meters / 75 second time limit
2005;WSM Final;Log Lift;130 kg / 75 second time limit
2005;WSM Final;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2005;WSM Final;Ding Carry;160 kg
2005;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2006;WSM Final;Deadlift;310 kg / 75 second time limit / Car deadlift
2006;WSM Final;Power Stairs;230 kg / 90 second time limit / 23 stairs
2006;WSM Final;Rock Press;4 implements / 90 second time limit / 103 to 133 kg
2006;WSM Final;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2006;WSM Final;Bus Pull;20 meters / 75 second time limit
2006;WSM Final;Car Walk;420 kg / 30 meters / 75 second time limit
2006;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2007;WSM Final;Loading Race;4 implements / 75 second time limit / 4x 111 kg barrels
2007;WSM Final;Safe Lift;115 kg / 75 second time limit
2007;WSM Final;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2007;WSM Final;Deadlift;345 kg / 75 second time limit / Car deadlift
2007;WSM Final;Car Walk;400 kg / 25 meters / 75 second time limit
2007;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2008;WSM Final;Power Stairs;225 kg / 75 second time limit / 14 stairs
2008;WSM Final;Car Walk;410 kg / 25 meters / 75 second time limit
2008;WSM Final;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2008;WSM Final;Deadlift;75 second time limit / Car deadlift
2008;WSM Final;Log Lift;140 kg / 75 second time limit
2008;WSM Final;Plane Pull;40000 kg / 25 meters / 75 second time limit
2008;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2009;WSM Final;Fingal's Fingers;5 implements / 75 second time limit / 200 to 320 kg
2009;WSM Final;Farmer's Walk;160 kg / 50 meters / 75 second time limit
2009;WSM Final;Plane Pull;40000 kg / 25 meters / 75 second time limit
2009;WSM Final;Arm Over Arm Pull;300 kg / 20 meters / 75 second time limit
2009;WSM Final;Deadlift;75 second time limit / Car deadlift
2009;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2010;WSM Final;Loading Race;3 implements / 75 second time limit / 3x 125 kg sacks
2010;WSM Final;Keg Toss;8 implements / 75 second time limit / 17 to 24 kg, 4.00 metres
2010;WSM Final;Frame Carry;360 kg / 40 meters / 75 second time limit
2010;WSM Final;Deadlift;355 kg / 75 second time limit / Car deadlift
2010;WSM Final;Atlas Stones;5 implements / 75 second time limit / 100 to 180 kg
2011;WSM Final;Frame Carry;375 kg / 30 meters / 75 second time limit
2011;WSM Final;Super Yoke;450 kg / 25 meters / 75 second time limit
2011;WSM Final;Truck Pull;10000 kg / 30 meters / 75 second time limit
2011;WSM Final;Log Lift;155 kg / 75 second time limit
2011;WSM Final;Atlas Stones;5 implements / 75 second time limit / 120 to 180 kg
2012;WSM Final;Super Yoke;440 kg / 40 meters / 75 second time limit
2012;WSM Final;Bus Pull;24500 kg / 25 meters / 75 second time limit
2012;WSM Final;Deadlift;360 kg / 60 second time limit
2012;WSM Final;Natural Stones;5 implements / 75 second time limit / 137 to 170 kg
2012;WSM Final;Power Stairs;225 kg / 75 second time limit / 15 stairs
2013;WSM Final;Frame Carry;375 kg / 30 meters / 60 second time limit
2013;WSM Final;Truck Pull;16000 kg / 25 meters / 75 second time limit
2013;WSM Final;Super Yoke;480 kg / 20 meters / 60 second time limit
2013;WSM Final;Overhead Medley;4 implements / 75 second time limit / 110 kg dumbbell, 170 kg barbell, 120 kg dumbbell, 180 kg barbell
2013;WSM Final;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2014;WSM Final;Loading Race;3 implements / 60 second time limit / 3x 100 kg tires
2014;WSM Final;Overhead Medley;4 implements / 60 second time limit / 105 kg dumbbell, 163 kg axle (2 reps on each)
2014;WSM Final;Keg Toss;8 implements / 60 second time limit / 18 to 25 kg, 4.90 metres
2014;WSM Final;Truck Pull;24000 kg / 25 meters / 60 second time limit
2014;WSM Final;Squat Lift;329 kg / 60 second time limit
2014;WSM Final;Atlas Stones;5 implements / 60 second time limit / 130 to 186 kg
2015;WSM Final;Super Yoke;500 kg / 20 meters / 60 second time limit
2015;WSM Final;Deadlift;370 kg / 60 second time limit
2015;WSM Final;Truck Pull;28000 kg / 25 meters / 60 second time limit
2015;WSM Final;Power Stairs;225 kg / 60 second time limit / 15 stairs
2015;WSM Final;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2016;WSM Final;Frame Carry;375 kg / 30 meters / 60 second time limit
2016;WSM Final;Circus Barbell;163 kg / 75 second time limit
2016;WSM Final;Plane Pull;40000 kg / 25 meters / 60 second time limit
2016;WSM Final;Kettlebell Toss;7 implements / 60 second time limit / 20 to 30 kg, 4.80 metres
2016;WSM Final;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2017;WSM Final;Tire Flip;500 kg / 60 second time limit / 6 flips
2017;WSM Final;Squat Lift;320 kg / 60 second time limit
2017;WSM Final;Viking Press;160 kg / 60 second time limit / Resting allowed
2017;WSM Final;Plane Pull;26000 kg / 30 meters / 60 second time limit
2017;WSM Final;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2018;WSM Final;Frame Carry;375 kg / 30 meters / 60 second time limit
2018;WSM Final;Deadlift;386 kg / 60 second time limit / Car deadlift
2018;WSM Final;Overhead Press;Standard bar for max weight
2018;WSM Final;Bus Pull;28000 kg / 25 meters / 60 second time limit
2018;WSM Final;Loading Race;5 implements / 10 meters / 75 second time limit / 105 kg anchor, 125 kg anvil, 120 kg keg, 150 kg sack, 120 kg safe (Distance: 10-8-6-4-2 metres)
2018;WSM Final;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2019;WSM Final;Loading Race;4 implements / 12 meters / 75 second time limit / 120 kg barrel, 140 kg anvil, 2x 140 kg sacks
2019;WSM Final;Overhead Medley;4 implements / 60 second time limit / 60 kg double dumbbells, 100 kg circus dumbbell, 160 kg circus barbell, 170 kg log
2019;WSM Final;Squat Lift;340 kg / 75 second time limit
2019;WSM Final;Deadlift Hold;320 kg
2019;WSM Final;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2020;WSM Final;Giant's Medley;25 meters / 75 second time limit / 125 kg anvil (10 metres), 454 kg yoke (15 metres)
2020;WSM Final;Max Deadlift;18-inch deadlift
2020;WSM Final;Keg Toss;8 implements / 60 second time limit / 18 to 25 kg, 4.50 metres
2020;WSM Final;Log Ladder;5 implements / 75 second time limit / 131 to 182.5 kg
2020;WSM Final;Atlas Stones;5 implements / 60 second time limit / 150 to 210 kg
2021;WSM Final;Giant's Medley;25 meters / 60 second time limit / 440 kg yoke (10 m), 350 kg frame (15 m)
2021;WSM Final;Titan's Turntable;30 meters / 75 second time limit
2021;WSM Final;Keg Toss;15 kg / For height
2021;WSM Final;Deadlift;350 kg / 60 second time limit
2021;WSM Final;Atlas Stones;5 implements / 140 to 210 kg
2022;WSM Final;Giant's Medley;75 second time limit / 2x 125 kg boxes + 455 kg yoke carry (10 metres each)
2022;WSM Final;Deadlift;360 kg / 60 second time limit / Car deadlift
2022;WSM Final;Bus Pull;19000 kg / 30 meters / 75 second time limit
2022;WSM Final;Power Stairs;75 second time limit / 3x 226 kg / 3 steps each
2022;WSM Final;Atlas Stones;5 implements / 60 second time limit / 140 to 200 kg
2023;WSM Final;Fingal's Fingers;5 implements / 60 second time limit / 145 to 172 kg
2023;WSM Final;Deadlift;353 kg / 60 second time limit
2023;WSM Final;Shield Carry;190 kg / For distance
2023;WSM Final;Bus Pull;23000 kg / 25 meters / 60 second time limit
2023;WSM Final;Atlas Stones;5 implements / 60 second time limit / 140 to 210 kg
2000;WSM Final - group;Super Yoke;355 kg / 25 meters
2000;WSM Final - group;Africa Stone;175 kg
2000;WSM Final - group;Power Stairs;200 kg / 24 stairs
2000;WSM Final - group;Basque Circle;350 kg
2000;WSM Final - group;Axle Press;120 kg / 75 second time limit
2000;WSM Final - group;Atlas Stones;5 implements / 95 to 160 kg
2000;WSM Final - group;Tire Flip;400 kg / 25 second time limit
2000;WSM Final - group;Africa Stone;175 kg
2000;WSM Final - group;Basque Circle;350 kg
2000;WSM Final - group;Fingal's Fingers;5 implements / 200 to 300 kg
2000;WSM Final - group;Atlas Stones;5 implements / 95 to 160 kg
2000;WSM Final - group;Tire Flip;400 kg / 25 second time limit
2000;WSM Final - group;Africa Stone;175 kg
2000;WSM Final - group;Power Stairs;200 kg / 24 stairs
2000;WSM Final - group;Basque Circle;350 kg
2000;WSM Final - group;Axle Press;120 kg / 75 second time limit
2000;WSM Final - group;Atlas Stones;5 implements / 95 to 160 kg
2000;WSM Final - group;Super Yoke;355 kg / 25 meters
2000;WSM Final - group;Africa Stone;175 kg
2000;WSM Final - group;Basque Circle;350 kg
2000;WSM Final - group;Fingal's Fingers;5 implements / 200 to 300 kg
2000;WSM Final - group;Atlas Stones;5 implements / 95 to 160 kg
2000;WSM Final - group;Tire Flip;400 kg / 25 meters
2000;WSM Final - group;Africa Stone;175 kg
2000;WSM Final - group;Power Stairs;200 kg / 24 stairs
2000;WSM Final - group;Basque Circle;350 kg
2000;WSM Final - group;Axle Press;120 kg / 75 second time limit
2000;WSM Final - group;Atlas Stones;5 implements / 95 to 160 kg
2001;WSM Final - group;Africa Stone;175 kg
2001;WSM Final - group;Atlas Stones;5 implements / 100 to 160 kg
2001;WSM Final - group;Africa Stone;175 kg
2001;WSM Final - group;Atlas Stones;5 implements / 100 to 160 kg
2001;WSM Final - group;Africa Stone;175 kg
2001;WSM Final - group;Atlas Stones;5 implements / 100 to 160 kg
2002;WSM Final - group;Carry & Drag;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 300 kg chain drag (15 m)
2002;WSM Final - group;Weight Throw;25 kg / For max height, 2 attempts to clear each height
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Car Pull;1500 kg / 25 meters / 60 second time limit
2002;WSM Final - group;Viking Press;121 kg / No resting allowed
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 400 kg tire flip (15 m)
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Truck Pull;16000 kg / 30 meters / 75 second time limit
2002;WSM Final - group;Conan's Wheel;300 kg
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Drag;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 300 kg chain drag (15 m)
2002;WSM Final - group;Weight Throw;25 kg / For max height, 2 attempts to clear each height
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Car Pull;1500 kg / 25 meters / 60 second time limit
2002;WSM Final - group;Conan's Wheel;300 kg
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 400 kg tire flip (15 m)
2002;WSM Final - group;Weight Throw;25 kg / For max height, 2 attempts to clear each height
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Car Pull;1500 kg / 25 meters / 60 second time limit
2002;WSM Final - group;Viking Press;121 kg / No resting allowed
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2002;WSM Final - group;Carry & Drag;35 meters / 75 second time limit / 120 kg farmer's walk (15 m), 300 kg chain drag (15 m)
2002;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2002;WSM Final - group;Truck Pull;16000 kg / 30 meters / 75 second time limit
2002;WSM Final - group;Conan's Wheel;300 kg
2002;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Farmer's Walk;120 kg / 70 meters / 75 second time limit
2003;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 245 to 345 kg
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Log Medley;4 implements / 75 second time limit / 110 to 155 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 225 kg duck walk (15 m), 400 kg tire flip (15 m)
2003;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 245 to 345 kg
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Giant Farmer's Walk;155 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Farmer's Walk;120 kg / 70 meters / 75 second time limit
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Deadlift;295 kg / 75 second time limit / Car deadlift
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Log Medley;4 implements / 75 second time limit / 110 to 155 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Farmer's Walk;120 kg / 70 meters / 75 second time limit
2003;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 245 to 345 kg
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Log Medley;4 implements / 75 second time limit / 110 to 155 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Carry & Flip;35 meters / 75 second time limit / 225 kg duck walk (15 m), 400 kg tire flip (15 m)
2003;WSM Final - group;Train Pull;16000 kg / 16 meters / 75 second time limit
2003;WSM Final - group;Giant Farmer's Walk;155 kg / 25 meters / 75 second time limit
2003;WSM Final - group;Deadlift;295 kg / 75 second time limit / Car deadlift
2003;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2003;WSM Final - group;Tire Flip;400 kg / 25 meters / 75 second time limit
2004;WSM Final - group;Contest Notes:   - Andrus Murumets replaced Steve Kirit (USA) after three events.;
2004;WSM Final - group;- Brian Turner replaced Hugo Girard (CAN) after six events.;
2004;WSM Final - group;- All events are in a head-to-head format, with a maximum of six points for each event. Deadlift;75 second time limit / 7 lifts, 265 to 370 kg (bonus points start on 3rd lift)
2004;WSM Final - group;Super Yoke;410 kg / 30 meters / 60 second time limit / Bonus points start at 22 metres
2004;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg (one bonus point per stone lifted)
2004;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg (one bonus point per finger flipped)
2004;WSM Final - group;Safe Lift;120 kg / 75 second time limit / One bonus point for every two reps
2004;WSM Final - group;Conan's Wheel;300 kg / 75 second time limit / Bonus points for every half-lap, starting after one lap
2004;WSM Final - group;Wrestling;3 bouts (2 pts per bout win, 1 point for staying over 10 seconds in a lost bout)
2004;WSM Final - group;Farmer's Walk;160 kg / 35 meters / 60 second time limit / Bonus points start at 27 metres
2004;WSM Final - group;Carry & Drag;35 meters / 60 second time limit / 100 kg anchor carry (15 m) into 300 kg chain drag (20 m), bonus points start at 27 metres
2004;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 265 to 370 kg (bonus points start on 3rd lift)
2004;WSM Final - group;Truck Pull;11500 kg / 35 meters / 60 second time limit / Bonus points start at 27 metres
2005;WSM Final - group;Medley;40 meters / 75 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m)
2005;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 210 to 340 kg
2005;WSM Final - group;Hercules Hold;160 kg
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Log Lift;130 kg / 75 second time limit
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg anchor carry (20 m), 200 kg chain drag (20 m)
2005;WSM Final - group;Viking Press;130 kg / 75 second time limit / Resting allowed
2005;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2005;WSM Final - group;Truck Pull;7250 kg / 25 meters / 75 second time limit
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Medley;40 meters / 75 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m)
2005;WSM Final - group;Squat Lift;75 second time limit / 7 lifts, 260 to 360 kg
2005;WSM Final - group;Hercules Hold;160 kg
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Log Lift;130 kg / 75 second time limit
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Carry & Drag;40 meters / 75 second time limit / 100 kg anchor carry (20 m), 200 kg chain drag (20 m)
2005;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 210 to 340 kg
2005;WSM Final - group;Hercules Hold;160 kg
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
2005;WSM Final - group;Log Lift;130 kg / 75 second time limit
2005;WSM Final - group;Atlas Stones;5 implements / 75 second time limit / 100 to 160 kg
2005;WSM Final - group;Medley;40 meters / 90 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m)
2005;WSM Final - group;Viking Press;130 kg / 75 second time limit / Resting allowed
2005;WSM Final - group;Deadlift;75 second time limit / 7 lifts, 210 to 340 kg
2005;WSM Final - group;Truck Pull;7250 kg / 25 meters / 75 second time limit
2005;WSM Final - group;Fingal's Fingers;5 implements / 75 second time limit / 200 to 300 kg
